id,day,scenario_label,area,area_label,group_size,arrival_time,hour,stay_duration_minutes,seating_preference,seating_preference_label,result_level,result_label,score,candidate_count,top_store_name,top_store_category,top_store_total_seats,top_store_free_seats,top_store_occupied_seats,top_store_occupancy_ratio,top_store_max_contiguous,top_store_max_open_contiguous,top_store_max_split,top_store_available_tables,plan_kind,plan_table_count,occupancy_blocked,blocked_store_count,blocked_store_names,top_reason
req-00025,1,MT 뒤풀이,campus_nearby,캠퍼스 주변,9,18:09,18시대,110,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,54.6,1,넓은홀식당,식당형 술집,48,40,8,0.1667,18,18,48,9,together_combined,3,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00033,1,소규모 술자리,food_street,먹자골목,4,18:28,18시대,89,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,90.89,2,큰마당호프,호프,54,40,14,0.2593,18,16,54,11,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00006,1,과 행사 뒤풀이,station,역 앞,12,18:30,18시대,158,split_ok,일부 분리 가능,split_only,분리 착석 가능,61.5,2,조용한룸,이자카야,30,30,0,0,10,10,30,7,split,2,false,0,,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00002,1,과 행사 뒤풀이,food_street,먹자골목,9,18:53,18시대,160,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,52.6,2,큰마당호프,호프,54,36,18,0.3333,18,16,54,10,together_combined,3,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00020,1,소규모 술자리,campus_nearby,캠퍼스 주변,2,18:57,18시대,107,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,91,1,넓은홀식당,식당형 술집,48,36,12,0.25,18,18,48,8,together_single,1,false,0,,현재 빈 테이블 기준으로 2인 테이블 1개 배정이 가능합니다.
req-00015,1,소규모 술자리,front_gate,정문,3,19:02,19시대,105,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,90.07,2,강의끝포차,포차,34,24,10,0.2941,8,8,34,7,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00001,1,동아리 소모임,front_gate,정문,6,19:15,19시대,100,together,붙어 앉기 선호,inquiry_recommended,문의 권장,38.92,1,강의끝포차,포차,34,8,26,0.7647,8,6,34,3,together_combined,2,true,1,긴테이블집,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00026,1,친구 모임,back_gate,후문,6,20:25,20시대,128,any,같은 매장이면 괜찮음,split_only,분리 착석 가능,50.3,3,둥근테이블,술집,30,8,22,0.7333,4,4,30,3,split,2,true,2,후문마당 | 골목분식포차,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00013,1,학생회 행사 후 모임,front_gate,정문,10,20:31,20시대,142,together,붙어 앉기 선호,inquiry_recommended,문의 권장,31.1,1,긴테이블집,한식주점,30,12,18,0.6,10,6,30,2,split,2,true,2,긴테이블집 | 강의끝포차,붙어 앉기 요청 기준으로는 현재 연속 좌석이 부족합니다.
req-00017,1,소규모 술자리,back_gate,후문,4,20:34,20시대,128,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,77.4,3,둥근테이블,술집,30,8,22,0.7333,4,4,30,3,together_single,1,true,2,후문마당 | 골목분식포차,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
